system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,NDRE,NDVI,NDWI,SAVI,VH,VH_VV,VV,VV_contrast,VV_ent,VV_var,agbd,agbd_se,elevation,slope,.geo
0,0.22335,0.11175,0.0352,0.0662,0.0471,0.11315,0.2669,0.3135,0.3291,0.3428,0.523113470389739,0.48829848,0.7496013,0.19142005,0.48276650631592305,-12.67450852864403,-6.548605755089076,-6.125902773554953,123.72916666666663,3.980981606512352,228.33752106167594,14.922627449035645,17.136262893676758,1083,13.606042,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93969348014238,10.27863577030608]}"
1,0.2366,0.11585,0.036083333,0.0611,0.0423,0.1115,0.2728,0.32065,0.34084,0.3582,0.5637020862303479,0.507008,0.779193,0.18052094,0.5070657089163135,-11.481792559978516,-6.2197430940324985,-5.262049465946017,484.7232142857142,4.075892139439253,508.42190157313416,25.344175338745117,17.12984848022461,1075,13.890945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95092242119388,10.27863577030608]}"
2,0.191,0.099475,0.031816665,0.06171667,0.04275,0.101825,0.24785,0.29756665,0.2975,0.32,0.484177529549899,0.49001443,0.7487142,0.21801436,0.4547753800509837,-13.768642895858106,-6.393037406591878,-7.375605489266228,63.195436507936506,4.001727703297813,74.36999539399403,33.80500793457031,17.12841796875,1091,14.955517,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93924432250033,10.278860349127111]}"
3,0.1651,0.0726,0.02745,0.05175,0.0293,0.083925,0.22241667,0.2673,0.278,0.2904,0.4982270526409538,0.53622985,0.80930686,0.25479576,0.46209587020075216,-17.757669405360147,-6.77486887913677,-10.982800526223377,277.2777777777778,4.250918214838631,461.3254716238389,18.961402893066406,17.132055282592773,1097,12.393966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94193926835268,10.278860349127111]}"
4,0.2335,0.1255,0.042533334,0.064833336,0.05535,0.1104,0.2407,0.29195,0.29573333,0.32486665,0.45915574555437677,0.45633617,0.68469024,0.11759148,0.4236659192274538,-11.179109006772816,-6.201958127581815,-4.977150879191001,570.4424603174604,4.179079371764775,692.5692515432147,10.326077461242676,17.13832664489746,1073,13.093603,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95069784237285,10.278860349127111]}"
5,0.21945,0.11045,0.035266668,0.061416667,0.04067667,0.110533334,0.253975,0.30180714,0.3146325,0.3328,0.5292022539685395,0.48004603,0.7710351,0.17821686,0.4804505412628031,-16.74550153652191,-6.09014153820511,-10.6553599983168,51.10218253968253,4.127505920830255,93.71674914180221,18.366743087768555,17.13389778137207,1141,26.38953,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95721062818272,10.278860349127111]}"
6,0.22756666,0.12,0.031966668,0.059218183,0.044042856,0.104433335,0.2336,0.27216,0.28254,0.30515,0.45617547846974627,0.46025565,0.73028064,0.10776831,0.4328007863419028,-14.720009435729821,-6.107329538340805,-8.612679897389016,75.56448412698415,4.134186943352127,103.17668473641424,21.545127868652344,17.1332950592041,1158,11.031376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9608038893192,10.278860349127111]}"
7,0.21495,0.10893334,0.0327,0.060175,0.040133335,0.1059,0.23535,0.277825,0.28685,0.30238333,0.48096667551418254,0.46072567,0.7545237,0.1432842,0.44749995326400793,-13.772756613051492,-5.96000179594754,-7.812754817103952,338.1597222222223,4.043013351016417,280.78518183895903,60.995792388916016,17.1278133392334,1152,5.637452,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96372341399258,10.278860349127111]}"
8,0.2515,0.12255,0.0353,0.07165,0.04935,0.13315,0.30475,0.3549,0.36915,0.39015,0.5708675655501732,0.46983877,0.7641577,0.18955933,0.5222645733171797,-13.627666631087774,-6.355614159420421,-7.272052471667353,355.2232142857144,4.282226273633814,481.8349897250682,13.806171417236328,17.133955001831055,1087,11.507886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94149011071062,10.27930950676917]}"
9,0.19743334,0.1004,0.0345,0.0577,0.0379,0.098575,0.23695,0.2831,0.28825,0.30755,0.49795130152902956,0.490338,0.7675916,0.1869874,0.4545482027087485,-14.954789647717387,-6.053602889776247,-8.90118675794114,641.0982142857142,4.245781034973421,649.8097550941711,100.28775024414062,17.124897003173828,1078,11.145678,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95047326355181,10.27930950676917]}"
